,id,area,structural_system,n_floors,ductility,roof,excentricity_ratio_EC8,excentricity_ratio_CR,radius_ratio_EC8,slenderness,slenderness_elevation,compactness,setback_ratio_NTC,hole_ratio_NTC,contact_force,confinement_ratio,contact_ang_acc,contact_angle,relative_position,city,geometry
238,1567.0,170.72494142122258,M,2,pre_code,bright_concrete,0.2449374338757654,0.027082877013148786,0.293392997201281,1.4331501707552055,0.5497289570287969,0.9530344054070129,0.5881147650255628,0.0,0.9873930385685844,4.998162329560376e-07,1.0509446940666816,0.0018611018566786655,lateral,san_jose,"POLYGON ((-84.10215355697419 9.928822564659473, -84.10215657004 9.92880466261274, -84.10215674574103 9.928803666143216, -84.10216894363325 9.928731146489284, -84.10217568094143 9.928689842493299, -84.10227481756691 9.928706449245746, -84.1022690527982 9.928740704795961, -84.10225569966761 9.928819187930399, -84.1022494183918 9.928855628652272, -84.10221414806155 9.928851866511595, -84.10221803891585 9.92883122515755, -84.10215355697419 9.928822564659473))"
239,1573.0,197.51644758261713,M,2,pre_code,dark_shadow,0.6360627440953243,0.06475963317198874,0.19928968764643398,2.222998317837609,0.636530450546562,0.8719657816214459,0.6648151760633368,0.0,0.9652947155881737,1.6802644819752933e-06,1.1019607396740767,0.0019050263765338113,lateral,san_jose,"POLYGON ((-84.1020720886406 9.928682097018866, -84.10215621808142 9.928693811187577, -84.10213547935037 9.928819694794482, -84.10215280410921 9.928822007131586, -84.10214857888056 9.928842595695222, -84.10214093517908 9.928888078717431, -84.10208448217242 9.928882128318438, -84.10208669353753 9.92886208093672, -84.10207237541604 9.928861633215027, -84.1020700176585 9.928880148945874, -84.10204298595193 9.928877529627147, -84.102049720626 9.928832679816574, -84.10205181375545 9.928818483416492, -84.10205286905779 9.928810966518313, -84.10211106530424 9.9288183377613, -84.10211423136009 9.928801357779047, -84.10205524286948 9.928795873335702, -84.10205983163264 9.928764743740283, -84.1020720886406 9.928682097018866))"
240,1576.0,139.5472848703716,M,2,low_code,bright_concrete,0.11948714126651612,0.014384642450249088,0.30786200619344944,1.3474379540740409,0.5895829869616344,0.9730464381538171,0.3389508789271631,0.0,0.2147563251164339,8.998156358491736,0.4275266591167954,0.4823548864848037,confined,san_jose,"POLYGON ((-84.10254573005119 9.928868111589306, -84.10256238616131 9.928765980734433, -84.10256340236464 9.928757166783699, -84.10265446606802 9.928774479895962, -84.10264028696153 9.928899395893362, -84.10257918979926 9.928889149006224, -84.10258164707452 9.928872963276456, -84.10254573005119 9.928868111589306))"
241,1577.0,176.92907849541936,M,2,pre_code,dark_shadow,0.009667766145861338,0.001088966405313706,0.20261576229005768,1.7006329659741088,0.5882432322473451,1.0,0.0,0.0,0.8608722562550964,0.0,0.9355988402757993,2.9802322387695312e-08,lateral,san_jose,"POLYGON ((-84.1024464326333 9.928904191595256, -84.10247036889339 9.928748211726502, -84.10256238616131 9.928765980734433, -84.10253734087217 9.928919551800714, -84.1024464326333 9.928904191595256))"
242,1578.0,102.05464449733185,M,2,low_code,metallic,0.08102468090454348,0.01134842287900364,0.32233039474417535,1.6330485611186514,0.7589871321533622,0.9716589703557512,0.22224309805100095,0.0,0.0,0.0,0.0,0.0,isolated,san_jose,"POLYGON ((-84.10398634006803 9.928889243445198, -84.10399252426019 9.928834809370812, -84.10401687497459 9.928838056873307, -84.10401947896258 9.928821154827595, -84.1041101243531 9.928832300447619, -84.10410863811009 9.928846260974074, -84.1041135286917 9.92884738966221, -84.10410563193801 9.92890738050446, -84.10407635618915 9.928902959096828, -84.10398634006803 9.928889243445198))"
243,1582.0,194.5161343643464,M,1,pre_code,metallic,0.22272299588460798,0.024030453354581878,0.19169941917325847,1.6574001967476601,0.2769217915638427,0.9559317043681022,0.0,0.0,0.7865554565383066,0.4144004395218516,0.6002568360142079,1.5709038581793437,corner,san_jose,"POLYGON ((-84.10139060450497 9.929004445047344, -84.10140362711745 9.928844630721038, -84.10149915854434 9.928857156368675, -84.1014912637051 9.928934533481103, -84.10148439519499 9.928934144651429, -84.1014835598915 9.928949732318133, -84.1015031502678 9.928951470594868, -84.10149451247236 9.929015585202912, -84.10149396668461 9.92902010631167, -84.10139060450497 9.929004445047344))"
244,1586.0,192.65244355444446,M,1,pre_code,dark_shadow,0.174588893737222,0.017971383089867267,0.2532432754326851,1.6372347892132686,0.27656006966556756,0.8912043713322737,0.4358098986764057,0.0,0.4398433936773002,3.490640224781733,0.7854302124968462,1.4462817327919484,confined,san_jose,"POLYGON ((-84.1026377988344 9.92892119356059, -84.10264028696153 9.928899395893362, -84.10265446606802 9.928774479895962, -84.102720528921 9.928779405177735, -84.10271128618241 9.928834926530758, -84.10276446980944 9.928843135332155, -84.10274871169771 9.928959401787996, -84.10268765128095 9.928945657310159, -84.10268984329018 9.928929865887419, -84.1026377988344 9.92892119356059))"
245,1587.0,155.5905483150123,M,1,pre_code,metallic,0.16178997630935757,0.018570809340937487,0.2785229735746562,1.8456000509833816,0.32673709679451074,0.9754362700738288,0.5297831115627093,0.0,0.8350732953840285,0.3695296660213408,0.8426607967322792,1.3972304547942773,corner,san_jose,"POLYGON ((-84.10109375731737 9.928837260593085, -84.10113671317893 9.92884348649997, -84.10124186775631 9.928858770524569, -84.10123529054991 9.928905406493257, -84.10124903321463 9.92890602180387, -84.10124517193192 9.928940492053796, -84.10108548464825 9.928922708919997, -84.10109375731737 9.928837260593085))"
246,1588.0,200.99212971442716,M,3,low_code,metallic,0.2069168306845633,0.020982023814114546,0.21136710351353905,1.3454153783901195,0.736344720220619,0.9795627042315829,0.1775168708764391,0.23438960479631651,0.0,0.0,0.0,0.0,isolated,san_jose,"POLYGON ((-84.09908621443311 9.928937402643472, -84.09893629445476 9.928920525553677, -84.0989470030247 9.928818911390438, -84.09897430987789 9.928819966208914, -84.09897555921104 9.928811527661093, -84.09906943767366 9.928822954861213, -84.0990703300545 9.92881803237505, -84.09909942166932 9.92882172423968, -84.09908621443311 9.928937402643472), (-84.09902760819281 9.92890744496472, -84.0990295558877 9.928881032584219, -84.09901687042772 9.92888061710757, -84.09901518691485 9.92890671498352, -84.09902760819281 9.92890744496472))"
247,1595.0,225.05719226947315,M,1,pre_code,metallic,0.6365182138718363,0.06077116218739512,0.22977276339746544,1.40150913345623,0.23674061564280166,0.9097918955917924,0.366847748882332,0.0,0.25352688595096645,5.388617293485293,0.4083343058837548,0.5795113399149615,confined,san_jose,"POLYGON ((-84.10292442823233 9.928974974005317, -84.10279325866739 9.928962536056444, -84.10279659211407 9.928933432133915, -84.10275606043247 9.928930409803353, -84.10276676037948 9.928843504777934, -84.1027967646574 9.928847068001119, -84.10279386474855 9.92887335864461, -84.10282704769536 9.92887753767031, -84.10282977506084 9.92883918018241, -84.10293546493754 9.928854597987998, -84.10292442823233 9.928974974005317))"
